"filename", "language", "JSON", "JavaScript", "Properties", "Groovy", "Batch", "Objective-C", "C++", "XML", "Java", "comment", "blank", "total"
"/Users/kroonhugo/Desktop/React/jobbify/ios/jobbify/AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 4, 9
"/Users/kroonhugo/Desktop/React/jobbify/ios/jobbify/AppDelegate.m", "Objective-C", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 15, 67
"/Users/kroonhugo/Desktop/React/jobbify/ios/jobbify/Base.lproj/LaunchScreen.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 44
"/Users/kroonhugo/Desktop/React/jobbify/ios/jobbify/Images.xcassets/AppIcon.appiconset/Contents.json", "JSON", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"/Users/kroonhugo/Desktop/React/jobbify/ios/jobbify/Images.xcassets/Contents.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/kroonhugo/Desktop/React/jobbify/ios/jobbify/main.m", "Objective-C", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"/Users/kroonhugo/Desktop/React/jobbify/ios/jobbifyTests/jobbifyTests.m", "Objective-C", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 15, 66
"/Users/kroonhugo/Desktop/React/jobbify/metro.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"/Users/kroonhugo/Desktop/React/jobbify/navigation/BottomTabNavigator.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 3, 7, 49
"/Users/kroonhugo/Desktop/React/jobbify/navigation/useLinking.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/kroonhugo/Desktop/React/jobbify/package-lock.json", "JSON", 11125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11126
"/Users/kroonhugo/Desktop/React/jobbify/package.json", "JSON", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"/Users/kroonhugo/Desktop/React/jobbify/screens/HomeScreen.js", "JavaScript", 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 16, 180
"/Users/kroonhugo/Desktop/React/jobbify/screens/LinksScreen.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 6, 75
"/Users/kroonhugo/Desktop/React/jobbify/sources/borderRadius.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/kroonhugo/Desktop/React/jobbify/sources/colors.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/Users/kroonhugo/Desktop/React/jobbify/sources/drawerContent.js", "JavaScript", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 19, 142
"/Users/kroonhugo/Desktop/React/jobbify/sources/fonts.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/kroonhugo/Desktop/React/jobbify/sources/padding.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/kroonhugo/Desktop/React/jobbify/views/HomeScreen.js", "JavaScript", 0, 172, 0, 0, 0, 0, 0, 0, 0, 22, 30, 224
"/Users/kroonhugo/Desktop/React/jobbify/views/JobScreen.js", "JavaScript", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 15, 167
"/Users/kroonhugo/Desktop/React/jobbify/views/Login/LoginScreen.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 9, 58
"/Users/kroonhugo/Desktop/React/jobbify/views/PendingScreen.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 0, 0, 5, 15, 110
"/Users/kroonhugo/Desktop/React/jobbify/views/ProfileScreen.js", "JavaScript", 0, 158, 0, 0, 0, 0, 0, 0, 0, 2, 23, 183
"/Users/kroonhugo/Desktop/React/jobbify/views/SettingsScreen.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 10, 72
"/Users/kroonhugo/Desktop/React/jobbify/views/bottomTabBar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 11280, 1432, 9, 134, 76, 110, 5, 85, 242, 456, 386, 14215
